Label,Time_sec,FrameTime_ms,FPS,Batches_DrawCalls,MainThreadTime_ms,Memory_MB
GPU_STRESS,96.98,9.03,111,2194,4.03,17.64
GPU_STRESS,97.49,27.90,36,1988,4.66,18.36
GPU_STRESS,98.00,11.68,86,1906,4.56,19.00
GPU_STRESS,98.51,9.67,103,1667,3.99,19.95
GPU_STRESS,99.01,8.83,113,1675,3.68,16.79
NORMAL,99.52,13.56,74,70,3.72,17.29
NORMAL,100.02,12.75,78,86,3.04,17.97
NORMAL,100.53,7.51,133,78,2.68,18.69
NORMAL,101.04,24.19,41,79,2.70,19.70
NORMAL,101.54,7.56,132,94,2.86,16.16
NORMAL,102.04,7.22,139,97,2.67,16.62
NORMAL,102.54,6.85,146,108,2.63,17.21
NORMAL,103.05,8.36,120,108,3.34,17.96
NORMAL,103.56,7.76,129,91,3.02,19.07
NORMAL,104.06,8.32,120,85,3.03,20.20
NORMAL,104.59,26.65,38,88,2.83,16.55
NORMAL,105.09,13.90,72,96,3.04,17.17
NORMAL,105.59,9.39,106,95,3.86,17.80
NORMAL,106.10,9.90,101,104,3.75,18.56
NORMAL,106.61,32.10,31,100,5.04,19.62
NORMAL,107.12,9.78,102,99,3.44,16.40
NORMAL,107.62,10.35,97,101,3.68,16.80
NORMAL,108.12,10.53,95,93,3.76,17.29
NORMAL,108.63,20.86,48,86,5.15,17.89
NORMAL,109.13,9.61,104,95,4.00,18.55
NORMAL,109.63,9.79,102,102,4.57,19.40
NORMAL,110.14,9.30,108,114,3.52,20.39
NORMAL,110.65,15.00,67,115,4.85,16.71
NORMAL,111.16,15.99,63,134,4.80,17.09
NORMAL,111.67,8.66,115,144,3.84,17.54
NORMAL,112.19,28.79,35,143,4.64,18.14
NORMAL,112.70,10.22,98,141,5.26,18.88
NORMAL,113.20,9.53,105,140,3.60,19.78
NORMAL,113.70,10.82,92,145,3.54,16.57
NORMAL,114.22,17.10,58,151,5.45,16.85
NORMAL,114.72,16.55,60,152,4.93,17.28
NORMAL,115.22,9.57,104,141,4.78,17.86
NORMAL,115.75,31.43,32,145,4.31,18.54
NORMAL,116.26,27.33,37,143,7.33,19.22
NORMAL,116.76,9.77,102,138,4.09,20.16
NORMAL,117.27,10.69,94,143,4.07,16.66
NORMAL,117.77,35.70,28,146,4.03,17.10
NORMAL,118.28,8.71,115,136,3.68,17.61
NORMAL,118.79,10.13,99,149,4.19,18.32
NORMAL,119.32,28.58,35,124,4.33,19.18
NORMAL,119.82,12.78,78,122,5.71,20.09
NORMAL,120.33,9.23,108,120,3.31,16.72
NORMAL,120.83,9.39,106,120,3.64,17.10
